model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
230.0,target,False,11.0,999.0,149.0,7.0,999.0,999.0,999.0,5.0,3.0,750.0,999.0,999.0
231.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,3.0,9.0,9.0,4.0
231.0,train,False,5.0,301.0,3.0,5.0,999.0,999.0,999.0,26.0,999.0,610.0,999.0,538.0
231.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,3.0,9.0,9.0,4.0
231.0,target,False,7.0,5.0,3.0,3.0,999.0,999.0,999.0,139.0,936.0,502.0,999.0,916.0
232.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
232.0,train,False,7.0,19.0,3.0,3.0,999.0,999.0,999.0,3.0,999.0,999.0,999.0,8.0
232.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,3.0,9.0,9.0,4.0
232.0,target,False,7.0,17.0,3.0,3.0,999.0,999.0,999.0,3.0,999.0,999.0,999.0,8.0
233.0,train,True,11.0,3.0,7.0,7.0,3.0,7.0,5.0,10.0,5.0,11.0,9.0,4.0
233.0,train,False,7.0,999.0,7.0,3.0,999.0,999.0,999.0,15.0,7.0,999.0,999.0,999.0
233.0,target,True,11.0,3.0,7.0,7.0,3.0,7.0,5.0,10.0,5.0,11.0,9.0,4.0
233.0,target,False,7.0,999.0,7.0,3.0,999.0,999.0,999.0,21.0,9.0,999.0,999.0,999.0
234.0,train,True,16.0,3.0,10.0,16.0,3.0,7.0,5.0,15.0,5.0,11.0,9.0,4.0
234.0,train,False,7.0,16.0,155.0,10.0,999.0,999.0,999.0,16.0,14.0,999.0,999.0,33.0
234.0,target,True,16.0,3.0,10.0,16.0,3.0,7.0,5.0,14.0,5.0,15.0,9.0,4.0
234.0,target,False,7.0,15.0,167.0,10.0,999.0,999.0,999.0,16.0,14.0,999.0,999.0,33.0
235.0,train,True,27.0,3.0,72.0,16.0,3.0,7.0,5.0,14.0,5.0,11.0,9.0,4.0
235.0,train,False,322.0,999.0,999.0,999.0,999.0,19.0,18.0,999.0,999.0,999.0,999.0,999.0
235.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,5.0,5.0,17.0,9.0,4.0
